Name,latitude,longitude,Capacity,Icon,Type
Joto Elementary School,35.679059,139.769114,2480,home,OG
Kyobashi Plaza,35.673121,139.771593,1038,home,OG
Taimei Elementary School,35.672383,139.761495,2384,home,OG
Ginza Junior High School,35.665512,139.764854,4590,home,OG
Chuo Elementary School,35.672171,139.77876,2940,home,OG
Akashi Elementary School,35.668734,139.776472,3903,home,OG
Kyobashi Tsukiji Elementary School,35.667975,139.771173,3397,home,OG
Kyoka Square,35.674999,139.775575,2460,home,OG
Meisei Elementary School,35.676011,139.781852,5200,home,OG
Tokiwa Elementary School,35.688038,139.770509,1749,home,OG
Jisshi Square,35.690907,139.776991,1332,home,OG
Nihonbashi Elementary School,35.684273,139.78123,3120,home,OG
Arima Elementary School,35.683219,139.787989,4075,home,OG
Hisamatsu Elementary School,35.689056,139.784355,4212,home,OG
Nihonbasi Junior High School,35.691933,139.786993,4176,home,OG
Sakamoto Elementary School,35.679538,139.776687,2987,home,OG
Tsukudashima Elementary School,35.668599,139.784518,4509,home,OG
Tsukuba Junior High School,35.667941,139.785025,4890,home,OG
Tsukishima First Elementary School,35.660674,139.780093,3504,home,OG
Tsukishima Second Elementary School,35.66017,139.775931,3837,home,OG
Tsukishima Third Elementary School,35.658848,139.785703,4529,home,OG
Harumi Junior High School,35.659743,139.784908,4401,home,OG
Toyosu Elementary School,35.654366,139.773051,5612,home,OG
Chuo Ward Office,35.670599,139.77201,0,home,OG
Nihonbashi Community Center,35.682479,139.784287,579,home,OG
Tsukishima Community Center,35.661921,139.78192,2026,home,OG
Hot Plaza Harumi,35.652023,139.774843,479,home,OG
Akatsuki Park,35.665155,139.770788,9895,home,OG
Shinkawa Twin Building Area,35.677069,139.782438,30650,home,OG
Tsukuba River City District,35.666185,139.784641,22208,home,OG
Harumi Area,35.653904,139.780439,48529,home,OG
Nihombashi Mitsukoshi Building,35.685309,139.77371,20431,home,new
Chuo City Sports Center,35.68788,139.788905,16547,home,new
Emeninto Clothing Store,35.685151,139.779223,7495,home,new
Comfort Hotel,35.694245,139.782715,8070,home,new
Tokyo Inn Akihabara Kanda,35.6877,139.7767,4860,home,new
DDD Hotel,35.6775,139.7788,6915,home,new